1 qid:32 1:1.075 2:0.99946636 3:2.52196335793 4:0.5 5:3
2 qid:32 1:0.67774566474 2:0.99841106 3:2.49863409996 4:0.5 5:0
1 qid:33 1:0.714285714286 2:0.715627007674 3:2.41678714752 4:0.5 5:19
2 qid:33 1:0.746875 2:0.834208607674 3:3.71395802498 4:0.5 5:2
1 qid:34 1:0.180625 2:0.663283886156 3:0.174640893936 4:0.5 5:1
2 qid:34 1:1.33879781421 2:0.294823376156 3:0.245540007949 4:0.5 5:5
2 qid:35 1:0.746875 2:0.147922061114 3:0.531171679497 4:0.5 5:38
1 qid:35 1:0.730253353204 2:0.978108524886 3:0.851723849773 4:0.5 5:20
2 qid:36 1:0.746875 2:0.998268313115 3:0.712686598301 4:0.5 5:39
1 qid:36 1:0.751020408163 2:0.998899792671 3:1.54343724251 4:0.5 5:8
2 qid:37 1:0.75 2:0.855541144181 3:1.44386482239 4:0.5 5:73
1 qid:37 1:1.0 2:0.774271107819 3:1.54721176624 4:0.5 5:0
2 qid:38 1:1.62962962963 2:0.350248304058 3:2.71280646324 4:0.5 5:50
1 qid:38 1:0.763265306122 2:0.847921584058 3:3.92557692528 4:0.5 5:8
1 qid:39 1:0.75 2:0.555830951156 3:1.53963649273 4:0.5 5:71
2 qid:39 1:0.75 2:0.410344911156 3:2.00496339798 4:0.5 5:89
1 qid:40 1:1.0 2:0.921529712647 3:0.319600731134 4:0.5 5:10
2 qid:40 1:1.56632653061 2:0.999932072647 3:0.409309566021 4:0.5 5:1
2 qid:41 1:1.49926793558 2:0.996438321684 3:1.84522402287 4:0.5 5:8
1 qid:41 1:1.0 2:0.995477581684 3:1.52797961235 4:0.5 5:42
2 qid:42 1:0.746951219512 2:0.446647468993 3:1.20150232315 4:0.5 5:0
1 qid:42 1:0.75 2:0.277927068993 3:1.07533466816 4:0.5 5:71
2 qid:43 1:0.75 2:0.999495679729 3:1.06925213337 4:0.5 5:326
1 qid:43 1:1.0 2:0.982886020271 3:1.11491346359 4:0.5 5:4
2 qid:44 1:0.850694444444 2:0.799323646117 3:0.706768810749 4:0.5 5:3
1 qid:44 1:0.625 2:0.993902803883 3:0.622616887093 4:0.5 5:8
